AGI,mRNA,description
AT3G60770,AT3G60770.1,Ribosomal protein S13/S15 [Source:NCBI gene (formerly Entrezgene);Acc:825248]
AT3G60780,AT3G60780.1,""
AT3G60790,AT3G60790.1,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:825250]
AT3G60800,AT3G60800.1,DHHC-type zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:825251]
AT3G60805,AT3G60805.1,""
AT3G60810,AT3G60810.1,DUF1499 family protein [Source:NCBI gene (formerly Entrezgene);Acc:825252]
AT3G60820,AT3G60820.1,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825253]
AT3G60830,AT3G60830.1,actin-related protein 7 [Source:NCBI gene (formerly Entrezgene);Acc:825254]
AT3G60840,AT3G60840.1,microtubule-associated protein 65-4 [Source:NCBI gene (formerly Entrezgene);Acc:825255]
AT3G60850,AT3G60850.1,""
AT3G60860,AT3G60860.1,SEC7-like guanine nucleotide exchange family protein [Source:NCBI gene (formerly Entrezgene);Acc:825257]
AT3G60870,AT3G60870.1,AT-hook motif nuclear-localized protein 18 [Source:NCBI gene (formerly Entrezgene);Acc:825258]
AT3G60880,AT3G60880.2,dihydrodipicolinate synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:825259]
AT3G60890,AT3G60890.2,binding protein [Source:NCBI gene (formerly Entrezgene);Acc:825260]
AT3G60897,AT3G60897.1,
AT3G60900,AT3G60900.1,FASCICLIN-like arabinogalactan-protein 10 [Source:NCBI gene (formerly Entrezgene);Acc:825261]
AT3G60910,AT3G60910.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825262]
AT3G60920,AT3G60920.1,beige/BEACH domain protein [Source:NCBI gene (formerly Entrezgene);Acc:825263]
AT3G60930,AT3G60930.1,
AT3G60935,AT3G60935.1,
AT3G60940,AT3G60940.1,Putative endonuclease or glycosyl hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:825265]
AT3G60950,AT3G60950.1,C2 calcium/lipid-binding endonuclease/exonuclease/phosphatase [Source:NCBI gene (formerly Entrezgene);Acc:825266]
AT3G60955,AT3G60955.1,
AT3G60957,AT3G60957.1,
AT3G60960,AT3G60960.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825268]
AT3G60961,AT3G60961.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:6241017]
AT3G60965,AT3G60965.1,
AT3G60966,AT3G60966.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:3769752]
AT3G60970,AT3G60970.1,multidrug resistance-associated protein 15 [Source:NCBI gene (formerly Entrezgene);Acc:825269]
AT3G60972,AT3G60972.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5008100]
AT3G60980,AT3G60980.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825270]
AT3G60990,AT3G60990.1,glycosyltransferase family protein (DUF23) [Source:NCBI gene (formerly Entrezgene);Acc:825271]
AT3G61010,AT3G61010.2,Ferritin/ribonucleotide reductase-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:825272]
AT3G61020,AT3G61020.1,
AT3G61028,AT3G61028.2,Putative endonuclease or glycosyl hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:5008101]
AT3G61030,AT3G61030.1,Calcium-dependent lipid-binding (CaLB domain) family protein [Source:NCBI gene (formerly Entrezgene);Acc:825274]
AT3G61035,AT3G61035.1,Cytochrome P450 superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825275]
AT3G61040,AT3G61040.1,"cytochrome P450, family 76, subfamily C, polypeptide 7 [Source:NCBI gene (formerly Entrezgene);Acc:825276]"
AT3G61050,AT3G61050.1,Calcium-dependent lipid-binding (CaLB domain) family protein [Source:NCBI gene (formerly Entrezgene);Acc:825277]
AT3G61060,AT3G61060.2,phloem protein 2-A13 [Source:NCBI gene (formerly Entrezgene);Acc:825278]
AT3G61070,AT3G61070.1,peroxin 11E [Source:NCBI gene (formerly Entrezgene);Acc:825279]
AT3G61080,AT3G61080.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825280]
AT3G61090,AT3G61090.1,Putative endonuclease or glycosyl hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:825281]
AT3G61100,AT3G61100.1,Putative endonuclease or glycosyl hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:825282]
AT3G61105,AT3G61105.1,""
AT3G61110,AT3G61110.1,ribosomal protein S27 [Source:NCBI gene (formerly Entrezgene);Acc:825283]
AT3G61111,AT3G61111.1,Zinc-binding ribosomal protein family protein [Source:NCBI gene (formerly Entrezgene);Acc:6241410]
AT3G61113,AT3G61113.1,Ubiquitin related modifier 1 [Source:NCBI gene (formerly Entrezgene);Acc:6241165]
AT3G61117,AT3G61117.1,""
AT3G61118,AT3G61118.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5008102]
AT3G61120,AT3G61120.1,AGAMOUS-like 13 [Source:NCBI gene (formerly Entrezgene);Acc:825284]
AT3G61130,AT3G61130.1,galacturonosyltransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:825285]
AT3G61140,AT3G61140.1,COP9 signalosome complex subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:825286]
AT3G61150,AT3G61150.1,homeodomain GLABROUS 1 [Source:NCBI gene (formerly Entrezgene);Acc:825287]
AT3G61160,AT3G61160.2,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825288]
AT3G61170,AT3G61170.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825289]
AT3G61172,AT3G61172.1,low-molecular-weight cysteine-rich 8 [Source:NCBI gene (formerly Entrezgene);Acc:3769755]
AT3G61175,AT3G61175.1,low-molecular-weight cysteine-rich 52 [Source:NCBI gene (formerly Entrezgene);Acc:3769756]
AT3G61177,AT3G61177.1,low-molecular-weight cysteine-rich 53 [Source:NCBI gene (formerly Entrezgene);Acc:3769757]
AT3G61180,AT3G61180.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825290]
AT3G61182,AT3G61182.1,low-molecular-weight cysteine-rich 54 [Source:NCBI gene (formerly Entrezgene);Acc:3769758]
AT3G61185,AT3G61185.1,
AT3G61190,AT3G61190.1,BON association protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:825291]
AT3G61198,AT3G61198.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5008103]
AT3G61200,AT3G61200.1,Thioesterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825292]
AT3G61210,AT3G61210.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825293]
AT3G61220,AT3G61220.2,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825294]
AT3G61230,AT3G61230.1,GATA type zinc finger transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:825295]
AT3G61240,AT3G61240.1,DEA(D/H)-box RNA helicase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825296]
AT3G61250,AT3G61250.1,myb domain protein 17 [Source:NCBI gene (formerly Entrezgene);Acc:825297]
AT3G61260,AT3G61260.1,Remorin family protein [Source:NCBI gene (formerly Entrezgene);Acc:825298]
AT3G61270,AT3G61270.1,O-glucosyltransferase rumi-like protein (DUF821) [Source:NCBI gene (formerly Entrezgene);Acc:825299]
AT3G61280,AT3G61280.1,O-glucosyltransferase rumi-like protein (DUF821) [Source:NCBI gene (formerly Entrezgene);Acc:825300]
AT3G61290,AT3G61290.1,O-glucosyltransferase rumi-like protein (DUF821) [Source:NCBI gene (formerly Entrezgene);Acc:825301]
AT3G61300,AT3G61300.1,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825302]
AT3G61310,AT3G61310.1,AT hook motif DNA-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:825303]
AT3G61320,AT3G61320.1,Bestrophin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825304]
AT3G61330,AT3G61330.1,
AT3G61340,AT3G61340.1,F-box and associated interaction domains-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:825306]
AT3G61350,AT3G61350.1,SKP1 interacting partner 4 [Source:NCBI gene (formerly Entrezgene);Acc:825307]
AT3G61360,AT3G61360.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825308]
AT3G61370,AT3G61370.1,pre-mRNA-splicing factor CWC22-like protein (DUF3245) [Source:NCBI gene (formerly Entrezgene);Acc:825309]
AT3G61380,AT3G61380.1,Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825310]
AT3G61389,AT3G61389.1,
AT3G61390,AT3G61390.2,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825311]
AT3G61400,AT3G61400.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825312]
AT3G61410,AT3G61410.1,U-box kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825313]
AT3G61415,AT3G61415.1,SKP1-like 21 [Source:NCBI gene (formerly Entrezgene);Acc:825314]
AT3G61420,AT3G61420.1,"BSD domain (BTF2-like transcription factors, Synapse-associated proteins and DOS2-like proteins) [Source:NCBI gene (formerly Entrezgene);Acc:825315]"
AT3G61430,AT3G61430.1,plasma membrane intrinsic protein 1A [Source:NCBI gene (formerly Entrezgene);Acc:825316]
AT3G61440,AT3G61440.1,cysteine synthase C1 [Source:NCBI gene (formerly Entrezgene);Acc:825317]
AT3G61450,AT3G61450.2,syntaxin of plants 73 [Source:NCBI gene (formerly Entrezgene);Acc:825318]
AT3G61460,AT3G61460.1,""
AT3G61470,AT3G61470.1,photosystem I light harvesting complex protein [Source:NCBI gene (formerly Entrezgene);Acc:825320]
AT3G61480,AT3G61480.1,"Quinoprotein amine dehydrogenase, beta chain-like; RIC1-like guanyl-nucleotide exchange factor [Source:NCBI gene (formerly Entrezgene);Acc:825321]"
AT3G61490,AT3G61490.1,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825322]
AT3G61500,AT3G61500.2,BPS1-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825323]
AT3G61510,AT3G61510.1,ACC synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:825324]
AT3G61520,AT3G61520.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825325]
AT3G61530,AT3G61530.1,Phosphoenolpyruvate carboxylase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825326]
AT3G61540,AT3G61540.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825327]
AT3G61545,AT3G61545.1,""
AT3G61550,AT3G61550.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825328]
AT3G61560,AT3G61560.2,Reticulon family protein [Source:NCBI gene (formerly Entrezgene);Acc:825329]
AT3G61570,AT3G61570.1,GRIP-related ARF-binding domain-containing protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:825330]
AT3G61571,AT3G61571.1,""
AT3G61580,AT3G61580.1,Fatty acid/sphingolipid desaturase [Source:NCBI gene (formerly Entrezgene);Acc:825331]
AT3G61590,AT3G61590.1,Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825332]
AT3G61600,AT3G61600.1,POZ/BTB containin G-protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:825333]
AT3G61610,AT3G61610.1,Galactose mutarotase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825334]
AT3G61620,AT3G61620.1,3'-5'-exoribonuclease family protein [Source:NCBI gene (formerly Entrezgene);Acc:825335]
AT3G61630,AT3G61630.1,""
AT3G61640,AT3G61640.1,arabinogalactan protein 20 [Source:NCBI gene (formerly Entrezgene);Acc:825337]
AT3G61650,AT3G61650.1,gamma-tubulin [Source:NCBI gene (formerly Entrezgene);Acc:825338]
AT3G61660,AT3G61660.1,""
AT3G61670,AT3G61670.1,"extra-large G-like protein, putative (DUF3133) [Source:NCBI gene (formerly Entrezgene);Acc:825340]"
AT3G61678,AT3G61678.1,
AT3G61680,AT3G61680.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825341]
AT3G61690,AT3G61690.1,nucleotidyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:825342]
AT3G61700,AT3G61700.2,helicase with zinc finger protein [Source:NCBI gene (formerly Entrezgene);Acc:825343]
AT3G61710,AT3G61710.1,AUTOPHAGY 6 [Source:NCBI gene (formerly Entrezgene);Acc:825344]
AT3G61715,AT3G61715.1,""
AT3G61720,AT3G61720.1,Ca2+dependent plant phosphoribosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825345]
AT3G61721,AT3G61721.1,
AT3G61723,AT3G61723.1,PHD finger protein [Source:NCBI gene (formerly Entrezgene);Acc:6240838]
AT3G61730,AT3G61730.1,reduced male fertility [Source:NCBI gene (formerly Entrezgene);Acc:825346]
AT3G61740,AT3G61740.1,SET domain protein 14 [Source:NCBI gene (formerly Entrezgene);Acc:825347]
AT3G61750,AT3G61750.1,Cytochrome b561/ferric reductase transmembrane with DOMON related domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:825348]
AT3G61755,AT3G61755.1,""
AT3G61760,AT3G61760.1,DYNAMIN-like 1B [Source:NCBI gene (formerly Entrezgene);Acc:825349]
AT3G61763,AT3G61763.1,
AT3G61770,AT3G61770.1,Acid phosphatase/vanadium-dependent haloperoxidase-related protein [Source:NCBI gene (formerly Entrezgene);Acc:825350]
AT3G61780,AT3G61780.1,embryo defective 1703 [Source:NCBI gene (formerly Entrezgene);Acc:825351]
AT3G61790,AT3G61790.1,Protein with RING/U-box and TRAF-like domain [Source:NCBI gene (formerly Entrezgene);Acc:825352]
AT3G61800,AT3G61800.1,ENTH/VHS protein [Source:NCBI gene (formerly Entrezgene);Acc:825353]
AT3G61810,AT3G61810.1,Glycosyl hydrolase family 17 protein [Source:NCBI gene (formerly Entrezgene);Acc:825354]
AT3G61820,AT3G61820.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:825355]
AT3G61825,AT3G61825.1,""
AT3G61826,AT3G61826.1,""
AT3G61827,AT3G61827.1,
AT3G61829,AT3G61829.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:6240471]
AT3G61830,AT3G61830.1,auxin response factor 18 [Source:NCBI gene (formerly Entrezgene);Acc:825356]
AT3G61840,AT3G61840.1,"auxin response factor, putative (DUF688) [Source:NCBI gene (formerly Entrezgene);Acc:825357]"
AT3G61850,AT3G61850.4,Dof-type zinc finger DNA-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:825358]
AT3G61860,AT3G61860.1,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:825359]
AT3G61870,AT3G61870.1,plant/protein [Source:NCBI gene (formerly Entrezgene);Acc:825360]
AT3G61880,AT3G61880.2,cytochrome p450 78a9 [Source:NCBI gene (formerly Entrezgene);Acc:825361]
AT3G61890,AT3G61890.1,homeobox 12 [Source:NCBI gene (formerly Entrezgene);Acc:825362]
AT3G61897,AT3G61897.1,ath-MIR166b [Source:miRBase;Acc:MI0000202]
AT3G61898,AT3G61898.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:3769766]
AT3G61900,AT3G61900.1,SAUR-like auxin-responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:825363]
AT3G61910,AT3G61910.1,NAC domain protein 66 [Source:NCBI gene (formerly Entrezgene);Acc:825364]
AT3G61920,AT3G61920.1,UvrABC system protein C [Source:NCBI gene (formerly Entrezgene);Acc:825365]
AT3G61930,AT3G61930.1,""
AT3G61940,AT3G61940.1,Cation efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:825367]
AT3G61947,AT3G61947.1,
AT3G61950,AT3G61950.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825368]
AT3G61960,AT3G61960.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825369]
AT3G61962,AT3G61962.1,Putative membrane lipoprotein [Source:NCBI gene (formerly Entrezgene);Acc:6241169]
AT3G61970,AT3G61970.1,AP2/B3-like transcriptional factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:825370]
AT3G61980,AT3G61980.1,"serine protease inhibitor, Kazal-type family protein [Source:NCBI gene (formerly Entrezgene);Acc:825371]"
AT3G61990,AT3G61990.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825372]
AT3G62000,AT3G62000.2,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825373]
AT3G62010,AT3G62010.1,metal ion-binding protein [Source:NCBI gene (formerly Entrezgene);Acc:825374]
AT3G62020,AT3G62020.1,germin-like protein 10 [Source:NCBI gene (formerly Entrezgene);Acc:825375]
AT3G62030,AT3G62030.2,rotamase CYP 4 [Source:NCBI gene (formerly Entrezgene);Acc:825376]
AT3G62040,AT3G62040.1,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825377]
AT3G62050,AT3G62050.1,Putative endonuclease or glycosyl hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:825378]
AT3G62060,AT3G62060.1,Pectinacetylesterase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825379]
AT3G62070,AT3G62070.1,""
AT3G62080,AT3G62080.2,SNF7 family protein [Source:NCBI gene (formerly Entrezgene);Acc:825381]
AT3G62090,AT3G62090.2,phytochrome interacting factor 3-like 2 [Source:NCBI gene (formerly Entrezgene);Acc:825382]
AT3G62097,AT3G62097.1,
AT3G62100,AT3G62100.1,indole-3-acetic acid inducible 30 [Source:NCBI gene (formerly Entrezgene);Acc:825383]
AT3G62110,AT3G62110.1,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825384]
AT3G62120,AT3G62120.1,Class II aaRS and biotin synthetases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825385]
AT3G62130,AT3G62130.1,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825386]
AT3G62140,AT3G62140.1,NEFA-interacting nuclear protein [Source:NCBI gene (formerly Entrezgene);Acc:825387]
AT3G62150,AT3G62150.1,P-glycoprotein 21 [Source:NCBI gene (formerly Entrezgene);Acc:825388]
AT3G62160,AT3G62160.1,HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825389]
AT3G62170,AT3G62170.1,VANGUARD-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825390]
AT3G62180,AT3G62180.1,Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825391]
AT3G62190,AT3G62190.1,Chaperone DnaJ-domain superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825392]
AT3G62200,AT3G62200.1,Putative endonuclease or glycosyl hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:825393]
AT3G62210,AT3G62210.1,Putative endonuclease or glycosyl hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:825394]
AT3G62220,AT3G62220.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825395]
AT3G62230,AT3G62230.1,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:825396]
AT3G62240,AT3G62240.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825397]
AT3G62245,AT3G62245.1,""
AT3G62250,AT3G62250.1,ubiquitin 5 [Source:NCBI gene (formerly Entrezgene);Acc:825398]
AT3G62260,AT3G62260.2,Protein phosphatase 2C family protein [Source:NCBI gene (formerly Entrezgene);Acc:825399]
AT3G62270,AT3G62270.1,HCO3- transporter family [Source:NCBI gene (formerly Entrezgene);Acc:825400]
AT3G62280,AT3G62280.1,GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825401]
AT3G62285,AT3G62285.1,""
AT3G62290,AT3G62290.1,ADP-ribosylation factor A1E [Source:NCBI gene (formerly Entrezgene);Acc:825402]
AT3G62300,AT3G62300.2,at domain protein (DOMAIN OF UNKNOWN FUNCTION 724 7) [Source:NCBI gene (formerly Entrezgene);Acc:825403]
AT3G62310,AT3G62310.1,RNA helicase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825404]
AT3G62320,AT3G62320.1,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825405]"
AT3G62330,AT3G62330.1,Zinc knuckle (CCHC-type) family protein [Source:NCBI gene (formerly Entrezgene);Acc:825406]
AT3G62336,AT3G62336.1,
AT3G62340,AT3G62340.1,WRKY family transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:825407]
AT3G62350,AT3G62350.1,F-box/associated interaction domain protein [Source:NCBI gene (formerly Entrezgene);Acc:825408]
